Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01371","Almonds, in shell","2022","2022","t","1913.31","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01708","Bambara beans, dry","2022","2022","t","57208.53","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01312","Bananas","2022","2022","t","46365.47","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","24310.01","Beer of barley, malted","2022","2022","t","345000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","22230.04","Buttermilk, dry","2022","2022","t","28.18","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01372","Cashew nuts, in shell","2022","2022","t","144765.45","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01520.01","Cassava, fresh","2022","2022","t","17356.95","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21512","Cattle fat, unrendered","2022","2022","t","3100.13","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","2022","t","8666.76","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01921.02","Cotton lint, ginned","2022","2022","t","270208.48","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","0143","Cotton seed","2022","2022","t","415000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","2168","Cottonseed oil","2022","2022","t","8000","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01706","Cow peas, dry","2022","2022","t","829204.07","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2022","2022","t","22217.58","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2022","2022","t","6991.92","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21153","Edible offal of pigs, fresh, chilled or frozen","2022","2022","t","12289.68","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2022","2022","t","6141.98","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2022","2022","t","69.26","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21159.01","Edible offals of horses and other equines, fresh, chilled or frozen","2022","2022","t","10.47","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21519.02","Fat of camels","2022","2022","t","10.66","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21511.01","Fat of pigs","2022","2022","t","18565.27","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01193","Fonio","2022","2022","t","8186.62","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21170.02","Game meat, fresh, chilled or frozen","2022","2022","t","7274.67","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","22241.02","Ghee from cow milk","2022","2022","t","1696.18","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21515","Goat fat, unrendered","2022","2022","t","1021.9","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","23913","Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg","2022","2022","t","1483.92","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","2162","Groundnut oil","2022","2022","t","23698.29","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","0142","Groundnuts, excluding shelled","2022","2022","t","559064.39","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","0231","Hen eggs in shell, fresh","2022","2022","t","68333.33","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5513","Production","0231","Hen eggs in shell, fresh","2022","2022","1000 No","1220238","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21118.01","Horse meat, fresh or chilled","2022","2022","t","88.77","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01499.01","Karite nuts (sheanuts)","2022","2022","t","140000","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01322","Lemons and limes","2022","2022","t","321.28","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","0112","Maize (corn)","2022","2022","t","1810276.28","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01316","Mangoes, guavas and mangosteens","2022","2022","t","14655.38","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21118.02","Meat of asses, fresh or chilled","2022","2022","t","1834","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21117.01","Meat of camels, fresh or chilled","2022","2022","t","444","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","129172","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","150905","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21116","Meat of goat, fresh or chilled","2022","2022","t","26892","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","t","180423","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21115","Meat of sheep, fresh or chilled","2022","2022","t","23623","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","0118","Millet","2022","2022","t","907744.77","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","23540","Molasses","2022","2022","t","15000","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","02910","Natural honey","2022","2022","t","350.56","A","Official value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21691.07","Oil of sesame seed","2022","2022","t","628.88","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01239.01","Okra","2022","2022","t","23912.39","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01253.01","Onions and shallots, green","2022","2022","t","17850.4","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01323","Oranges","2022","2022","t","626.55","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01241.90","Other beans, green","2022","2022","t","9720.55","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01359.90","Other fruits, n.e.c.","2022","2022","t","1353822.69","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","21119.90","Other meat of mammals, fresh or chilled","2022","2022","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01709.90","Other pulses n.e.c.","2022","2022","t","17356.04","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2022","2022","t","6563.57","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01319","Other tropical fruits, n.e.c.","2022","2022","t","11600","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2022","2022","t","1059618.12","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01651","Pepper (Piper spp.), raw","2022","2022","t","76915.39","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01321","Pomelos and grapefruits","2022","2022","t","255.69","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","01510","Potatoes","2022","2022","t","34185.19","E","Estimated value",""
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","2351f","Raw cane or beet sugar (centrifugal only)","2022","2022","t","30000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","854","Burkina Faso","5510","Production","02951.01","Raw hides and skins of cattle","2022","2022","t","21184.21","I","Value imputed by a receiving agency",""
